actor_loss,buffer_size,critic_loss,episode,episode_length,episode_reward,fps,frame,step,total_time
-14.518893984556199,50.0,4.34891996383667,1.0,100.0,0.0,0.8576000839332113,100,50.0,116.6044692993164
-47.73452133178711,100.0,18.554904172420503,2.0,100.0,0.0,4.057544738613174,200,100.0,141.2499167919159
-56.5486865234375,150.0,52.40883201599121,3.0,100.0,0.0,4.035550255262766,300,150.0,166.02968621253967
-56.09485641479492,200.0,36.052432460784914,4.0,100.0,0.0,4.001836856917605,400,200.0,191.018212556839
-71.28655891418457,250.0,125.7583081817627,5.0,100.0,0.0,3.9980060222535534,500,250.0,216.03068208694458
-101.6432209777832,300.0,40.633931922912595,6.0,100.0,0.0,3.9787439296774494,600,300.0,241.1642439365387
-103.97366287231445,350.0,25.853324165344237,7.0,100.0,0.0,3.9989808581783954,700,350.0,266.1706166267395
-96.42628921508789,400.0,22.270923976898192,8.0,100.0,0.0,4.01403693299007,800,400.0,291.0831940174103
-74.97085205078125,450.0,99.00704257965089,9.0,100.0,0.0,4.023793999058477,900,450.0,315.9353621006012
-75.42946769714355,500.0,308.13437896728516,10.0,100.0,0.0,4.031394695338231,1000,500.0,340.74067425727844
-75.02603340148926,550.0,142.62390533447265,11.0,100.0,0.0,4.034148894029368,1100,550.0,365.5290517807007
-77.77973449707031,600.0,94.85194786071777,12.0,100.0,0.0,4.012384262966188,1200,600.0,390.45188999176025
-83.64320022583007,650.0,180.199669342041,13.0,100.0,0.0,3.991923042444153,1300,650.0,415.5024743080139
-62.96547889709473,700.0,71.60376586914063,14.0,100.0,0.0,3.9852096538193638,1400,700.0,440.59525752067566
-38.285033531188965,750.0,34.48818740844727,15.0,100.0,0.0,3.993866117656843,1500,750.0,465.6336545944214
-14.50034987449646,800.0,18.07854362487793,16.0,100.0,0.0,3.993977434767954,1600,800.0,490.6713533401489
-2.344560869075358,850.0,9.472684803009033,17.0,100.0,0.0,3.9953844746821243,1700,850.0,515.7002346515656
-0.5930647893249988,900.0,7.05933479309082,18.0,100.0,0.0,3.9973478366247,1800,900.0,540.7168231010437
-4.618736793994904,950.0,8.476776161193847,19.0,100.0,0.0,3.995242215245629,1900,950.0,565.7465960979462
-7.751677632331848,1000.0,10.10198691368103,20.0,100.0,0.0,3.9987580151459,2000,1000.0,590.7543618679047
-11.18326847076416,1050.0,11.587160787582398,21.0,100.0,10.0,3.997222160541166,2100,1050.0,615.7717363834381
-15.90923547744751,1100.0,14.224164905548095,22.0,100.0,0.0,4.005014288767414,2200,1100.0,640.7404375076294
-22.228123397827147,1150.0,10.848698253631591,23.0,100.0,0.0,4.007204266734578,2300,1150.0,665.6954925060272
-22.214638118743895,1200.0,10.058461256027222,24.0,100.0,0.0,4.009891726047609,2400,1200.0,690.6338233947754
-17.808147563934327,1250.0,12.731028518676759,25.0,100.0,0.0,4.008094694188056,2500,1250.0,715.5833349227905
-14.015825777053832,1300.0,8.364766607284546,26.0,100.0,0.0,4.005065343386114,2600,1300.0,740.5517179965973
-11.340280389785766,1350.0,7.143101325035095,27.0,100.0,0.0,4.008632481416356,2700,1350.0,765.4978823661804
-9.231462450027466,1400.0,5.934514808654785,28.0,100.0,0.0,4.005472603154096,2800,1400.0,790.4637265205383
-7.1740860795974735,1450.0,4.319228429794311,29.0,100.0,0.0,4.007333825694569,2900,1450.0,815.4179751873016
-6.9254427337646485,1500.0,3.817495927810669,30.0,100.0,0.0,4.006555181506959,3000,1500.0,840.3770732879639
-6.682228360176087,1550.0,4.073322944641113,31.0,100.0,0.0,4.005096168003306,3100,1550.0,865.3452634811401
-6.5225625276565555,1600.0,3.673971109390259,32.0,100.0,0.0,4.007098872259212,3200,1600.0,890.3009750843048
-6.211840176582337,1650.0,3.5700910902023315,33.0,100.0,0.0,4.0050729921302395,3300,1650.0,915.2693107128143
-8.18123037815094,1700.0,7.1201080274581905,34.0,100.0,0.0,4.005874780769703,3400,1700.0,940.232647895813
-13.220793657302856,1750.0,29.464286136627198,35.0,100.0,0.0,4.00641840167241,3500,1750.0,965.1925983428955
-17.026840419769286,1800.0,79.83543235778808,36.0,100.0,0.0,4.008798033548952,3600,1800.0,990.1377320289612
-18.69919055938721,1850.0,138.0600267791748,37.0,100.0,0.0,4.012460570913579,3700,1850.0,1015.0600967407227
-58.343754072189334,1900.0,345.71811470031736,38.0,100.0,0.0,4.010821778377154,3800,1900.0,1039.992644071579
-181.3339158630371,1950.0,451.1787713623047,39.0,100.0,0.0,4.006309719262959,3900,1950.0,1064.953271150589
-204.61109649658204,2000.0,190.9864764404297,40.0,100.0,0.0,4.005252746027713,4000,2000.0,1089.9204857349396
-143.06089782714844,2050.0,123.97439254760742,41.0,100.0,0.0,4.006469989612112,4100,2050.0,1114.880114555359
-73.33547248840333,2100.0,116.27006805419921,42.0,100.0,0.0,4.006370335766907,4200,2100.0,1139.8403642177582
-18.28742178440094,2150.0,51.48991481781006,43.0,100.0,0.0,4.001417433253677,4300,2150.0,1164.8315098285675
0.15896731108427048,2200.0,13.912753953933716,44.0,100.0,0.0,4.002855545075782,4400,2200.0,1189.8136765956879
0.8671496919542551,2250.0,7.247726860046387,45.0,100.0,0.0,4.00709037356378,4500,2250.0,1214.7694416046143
0.00033836718648672104,2300.0,5.494800806045532,46.0,100.0,0.0,4.00657251884567,4600,2300.0,1239.7284314632416
-0.43293026342988017,2350.0,4.1067157745361325,47.0,100.0,0.0,4.010539591995134,4700,2350.0,1264.6627333164215
