Layers,avg_return
1,3706.39306640625
2,4190.19580078125
3,3525.388671875
4,4284.0673828125
5,3258.83959960937
6,2976.48657226562
7,3461.1669921875
8,3509.86791992187
9,2628.4306640625
10,3174.44653320312
