Wall time,Step,Value
1681964137.3076897,0,449.91119384765625
1681964163.0120862,1,752.7694091796875
1681964188.1001525,2,53.12466812133789
1681964209.5535338,3,1041.832763671875
1681964231.101845,4,140.44296264648438
1681964259.3350694,5,1122.896240234375
1681964282.147394,6,45.00291061401367
1681964303.8736706,7,44.488990783691406
1681964325.5273721,8,90.77426147460938
1681964347.0515194,9,84.52320098876953
