Wall time,Step,avg_return,std_return
1681964137.30716,0,377.017120361328,449.911193847656
1681964163.01183,1,4226.3349609375,752.769409179688
1681964188.09994,2,5316.62158203125,53.1246681213379
1681964209.55341,3,4673.0390625,1041.83276367188
1681964231.10146,4,5162.525390625,140.442962646484
1681964259.32834,5,4529.00146484375,1122.89624023438
1681964282.14712,6,5319.95068359375,45.0029106140137
1681964303.87353,7,5380.65234375,44.4889907836914
1681964325.52711,8,5266.2900390625,90.7742614746094
1681964347.05115,9,5238.77001953125,84.5232009887695
