Wall time,Step,avg_return,std_return
1681963718.49347,0,4190.19580078125,62.6631050109863
1681963738.53321,1,4571.5068359375,45.2174415588379
1681963758.15182,2,4697.10791015625,89.9199295043945
1681963778.21542,3,4650.12939453125,97.7731857299805
1681963799.67949,4,4759.16552734375,145.394119262695
1681963829.78132,5,4691.5927734375,58.9315643310547
1681963850.98943,6,4663.609375,114.54753112793
1681963871.49069,7,4705.50537109375,145.884552001953
1681963892.26993,8,4739.18115234375,80.6384735107422
1681963914.60611,9,4639.88525390625,94.7296905517578
